c Problem SAT 3+  213
p cnf 190 727
1 8 -12 0
1 -8 -12 0
-1 8 -12 0
-1 -8 12 0
2 8 -13 0
2 -8 -13 0
-2 8 -13 0
-2 -8 13 0
3 8 -14 0
3 -8 -14 0
-3 8 -14 0
-3 -8 14 0
4 8 -15 0
4 -8 -15 0
-4 8 -15 0
-4 -8 15 0
5 8 -16 0
5 -8 -16 0
-5 8 -16 0
-5 -8 16 0
6 8 -17 0
6 -8 -17 0
-6 8 -17 0
-6 -8 17 0
7 8 -18 0
7 -8 -18 0
-7 8 -18 0
-7 -8 18 0
1 9 -19 0
1 -9 -19 0
-1 9 -19 0
-1 -9 19 0
2 9 -20 0
2 -9 -20 0
-2 9 -20 0
-2 -9 20 0
3 9 -21 0
3 -9 -21 0
-3 9 -21 0
-3 -9 21 0
4 9 -22 0
4 -9 -22 0
-4 9 -22 0
-4 -9 22 0
5 9 -23 0
5 -9 -23 0
-5 9 -23 0
-5 -9 23 0
6 9 -24 0
6 -9 -24 0
-6 9 -24 0
-6 -9 24 0
7 9 -25 0
7 -9 -25 0
-7 9 -25 0
-7 -9 25 0
1 10 -26 0
1 -10 -26 0
-1 10 -26 0
-1 -10 26 0
2 10 -27 0
2 -10 -27 0
-2 10 -27 0
-2 -10 27 0
3 10 -28 0
3 -10 -28 0
-3 10 -28 0
-3 -10 28 0
4 10 -29 0
4 -10 -29 0
-4 10 -29 0
-4 -10 29 0
5 10 -30 0
5 -10 -30 0
-5 10 -30 0
-5 -10 30 0
6 10 -31 0
6 -10 -31 0
-6 10 -31 0
-6 -10 31 0
7 10 -32 0
7 -10 -32 0
-7 10 -32 0
-7 -10 32 0
1 11 -33 0
1 -11 -33 0
-1 11 -33 0
-1 -11 33 0
2 11 -34 0
2 -11 -34 0
-2 11 -34 0
-2 -11 34 0
3 11 -35 0
3 -11 -35 0
-3 11 -35 0
-3 -11 35 0
4 11 -36 0
4 -11 -36 0
-4 11 -36 0
-4 -11 36 0
5 11 -37 0
5 -11 -37 0
-5 11 -37 0
-5 -11 37 0
6 11 -38 0
6 -11 -38 0
-6 11 -38 0
-6 -11 38 0
7 11 -39 0
7 -11 -39 0
-7 11 -39 0
-7 -11 39 0
13 19 -40 0
13 -19 -40 0
-13 19 -40 0
-13 -19 40 0
13 19 -41 0
13 -19 41 0
-13 19 41 0
-13 -19 -41 0
20 26 -42 0
20 -26 -42 0
-20 26 -42 0
-20 -26 42 0
20 26 -43 0
