c Problem SAT 4+ 23
p cnf 293 1130
1 10 -15 0
1 -10 -15 0
-1 10 -15 0
-1 -10 15 0
2 10 -16 0
2 -10 -16 0
-2 10 -16 0
-2 -10 16 0
3 10 -17 0
3 -10 -17 0
-3 10 -17 0
-3 -10 17 0
4 10 -18 0
4 -10 -18 0
-4 10 -18 0
-4 -10 18 0
5 10 -19 0
5 -10 -19 0
-5 10 -19 0
-5 -10 19 0
6 10 -20 0
6 -10 -20 0
-6 10 -20 0
-6 -10 20 0
7 10 -21 0
7 -10 -21 0
-7 10 -21 0
-7 -10 21 0
8 10 -22 0
8 -10 -22 0
-8 10 -22 0
-8 -10 22 0
9 10 -23 0
9 -10 -23 0
-9 10 -23 0
-9 -10 23 0
1 11 -24 0
1 -11 -24 0
-1 11 -24 0
-1 -11 24 0
2 11 -25 0
2 -11 -25 0
-2 11 -25 0
-2 -11 25 0
3 11 -26 0
3 -11 -26 0
-3 11 -26 0
-3 -11 26 0
4 11 -27 0
4 -11 -27 0
-4 11 -27 0
-4 -11 27 0
5 11 -28 0
5 -11 -28 0
-5 11 -28 0
-5 -11 28 0
6 11 -29 0
6 -11 -29 0
-6 11 -29 0
-6 -11 29 0
7 11 -30 0
7 -11 -30 0
-7 11 -30 0
-7 -11 30 0
8 11 -31 0
8 -11 -31 0
-8 11 -31 0
-8 -11 31 0
9 11 -32 0
9 -11 -32 0
-9 11 -32 0
-9 -11 32 0
1 12 -33 0
1 -12 -33 0
-1 12 -33 0
-1 -12 33 0
2 12 -34 0
2 -12 -34 0
-2 12 -34 0
-2 -12 34 0
3 12 -35 0
3 -12 -35 0
-3 12 -35 0
-3 -12 35 0
4 12 -36 0
4 -12 -36 0
-4 12 -36 0
-4 -12 36 0
5 12 -37 0
5 -12 -37 0
-5 12 -37 0
-5 -12 37 0
6 12 -38 0
6 -12 -38 0
-6 12 -38 0
-6 -12 38 0
7 12 -39 0
7 -12 -39 0
-7 12 -39 0
-7 -12 39 0
8 12 -40 0
8 -12 -40 0
-8 12 -40 0
-8 -12 40 0
9 12 -41 0
9 -12 -41 0
-9 12 -41 0
-9 -12 41 0
1 13 -42 0
1 -13 -42 0
-1 13 -42 0
