c Problem SAT 5+  100 + 1
p cnf 622 2429
1 14 -21 0
1 -14 -21 0
-1 14 -21 0
-1 -14 21 0
2 14 -22 0
2 -14 -22 0
-2 14 -22 0
-2 -14 22 0
3 14 -23 0
3 -14 -23 0
-3 14 -23 0
-3 -14 23 0
4 14 -24 0
4 -14 -24 0
-4 14 -24 0
-4 -14 24 0
5 14 -25 0
5 -14 -25 0
-5 14 -25 0
-5 -14 25 0
6 14 -26 0
6 -14 -26 0
-6 14 -26 0
-6 -14 26 0
7 14 -27 0
7 -14 -27 0
-7 14 -27 0
-7 -14 27 0
8 14 -28 0
8 -14 -28 0
-8 14 -28 0
-8 -14 28 0
9 14 -29 0
9 -14 -29 0
-9 14 -29 0
-9 -14 29 0
10 14 -30 0
10 -14 -30 0
-10 14 -30 0
-10 -14 30 0
11 14 -31 0
11 -14 -31 0
-11 14 -31 0
-11 -14 31 0
12 14 -32 0
12 -14 -32 0
-12 14 -32 0
-12 -14 32 0
13 14 -33 0
13 -14 -33 0
-13 14 -33 0
-13 -14 33 0
1 15 -34 0
1 -15 -34 0
-1 15 -34 0
-1 -15 34 0
2 15 -35 0
2 -15 -35 0
-2 15 -35 0
-2 -15 35 0
3 15 -36 0
3 -15 -36 0
-3 15 -36 0
-3 -15 36 0
4 15 -37 0
4 -15 -37 0
-4 15 -37 0
-4 -15 37 0
5 15 -38 0
5 -15 -38 0
-5 15 -38 0
-5 -15 38 0
6 15 -39 0
6 -15 -39 0
-6 15 -39 0
-6 -15 39 0
7 15 -40 0
7 -15 -40 0
-7 15 -40 0
-7 -15 40 0
8 15 -41 0
8 -15 -41 0
-8 15 -41 0
-8 -15 41 0
9 15 -42 0
9 -15 -42 0
-9 15 -42 0
-9 -15 42 0
10 15 -43 0
10 -15 -43 0
-10 15 -43 0
-10 -15 43 0
11 15 -44 0
11 -15 -44 0
-11 15 -44 0
-11 -15 44 0
12 15 -45 0
12 -15 -45 0
-12 15 -45 0
-12 -15 45 0
13 15 -46 0
13 -15 -46 0
-13 15 -46 0
-13 -15 46 0
1 16 -47 0
1 -16 -47 0
-1 16 -47 0
-1 -16 47 0
2 16 -48 0
2 -16 -48 0
-2 16 -48 0
-2 -16 48 0
3 16 -49 0
3 -16 -49 0
-3 16 -49 0
-3 -16 49 0
4 16 -50 0
4 -16 -50 0
-4 16 -50 0
-4 -16 50 0
5 16 -51 0
5 -16 -51 0
-5 16 -51 0
-5 -16 51 0
6 16 -52 0
6 -16 -52 0
-6 16 -52 0
-6 -16 52 0
7 16 -53 0
7 -16 -53 0
-7 16 -53 0
-7 -16 53 0
8 16 -54 0
8 -16 -54 0
-8 16 -54 0
-8 -16 54 0
9 16 -55 0
9 -16 -55 0
-9 16 -55 0
-9 -16 55 0
10 16 -56 0
10 -16 -56 0
-10 16 -56 0
-10 -16 56 0
11 16 -57 0
11 -16 -57 0
-11 16 -57 0
-11 -16 57 0
12 16 -58 0
12 -16 -58 0
-12 16 -58 0
-12 -16 58 0
13 16 -59 0
13 -16 -59 0
-13 16 -59 0
-13 -16 59 0
1 17 -60 0
1 -17 -60 0
-1 17 -60 0
-1 -17 60 0
2 17 -61 0
2 -17 -61 0
-2 17 -61 0
-2 -17 61 0
3 17 -62 0
3 -17 -62 0
-3 17 -62 0
-3 -17 62 0
4 17 -63 0
4 -17 -63 0
-4 17 -63 0
-4 -17 63 0
5 17 -64 0
5 -17 -64 0
-5 17 -64 0
-5 -17 64 0
6 17 -65 0
6 -17 -65 0
-6 17 -65 0
-6 -17 65 0
7 17 -66 0
7 -17 -66 0
-7 17 -66 0
-7 -17 66 0
8 17 -67 0
8 -17 -67 0
-8 17 -67 0
-8 -17 67 0
9 17 -68 0
9 -17 -68 0
-9 17 -68 0
-9 -17 68 0
10 17 -69 0
10 -17 -69 0
-10 17 -69 0
-10 -17 69 0
11 17 -70 0
11 -17 -70 0
-11 17 -70 0
-11 -17 70 0
12 17 -71 0
12 -17 -71 0
-12 17 -71 0
-12 -17 71 0
13 17 -72 0
13 -17 -72 0
-13 17 -72 0
-13 -17 72 0
1 18 -73 0
1 -18 -73 0
-1 18 -73 0
-1 -18 73 0
2 18 -74 0
2 -18 -74 0
-2 18 -74 0
-2 -18 74 0
3 18 -75 0
3 -18 -75 0
-3 18 -75 0
-3 -18 75 0
4 18 -76 0
4 -18 -76 0
-4 18 -76 0
-4 -18 76 0
5 18 -77 0
5 -18 -77 0
-5 18 -77 0
-5 -18 77 0
6 18 -78 0
6 -18 -78 0
-6 18 -78 0
-6 -18 78 0
7 18 -79 0
7 -18 -79 0
-7 18 -79 0
-7 -18 79 0
8 18 -80 0
8 -18 -80 0
-8 18 -80 0
-8 -18 80 0
9 18 -81 0
9 -18 -81 0
-9 18 -81 0
-9 -18 81 0
10 18 -82 0
10 -18 -82 0
-10 18 -82 0
-10 -18 82 0
11 18 -83 0
11 -18 -83 0
-11 18 -83 0
-11 -18 83 0
12 18 -84 0
12 -18 -84 0
-12 18 -84 0
-12 -18 84 0
13 18 -85 0
13 -18 -85 0
-13 18 -85 0
-13 -18 85 0
1 19 -86 0
1 -19 -86 0
-1 19 -86 0
-1 -19 86 0
2 19 -87 0
2 -19 -87 0
-2 19 -87 0
-2 -19 87 0
3 19 -88 0
3 -19 -88 0
-3 19 -88 0
-3 -19 88 0
4 19 -89 0
4 -19 -89 0
-4 19 -89 0
-4 -19 89 0
5 19 -90 0
5 -19 -90 0
-5 19 -90 0
-5 -19 90 0
6 19 -91 0
6 -19 -91 0
-6 19 -91 0
-6 -19 91 0
7 19 -92 0
7 -19 -92 0
-7 19 -92 0
-7 -19 92 0
8 19 -93 0
8 -19 -93 0
-8 19 -93 0
-8 -19 93 0
9 19 -94 0
9 -19 -94 0
-9 19 -94 0
-9 -19 94 0
10 19 -95 0
10 -19 -95 0
-10 19 -95 0
-10 -19 95 0
11 19 -96 0
11 -19 -96 0
-11 19 -96 0
-11 -19 96 0
12 19 -97 0
12 -19 -97 0
-12 19 -97 0
-12 -19 97 0
13 19 -98 0
13 -19 -98 0
-13 19 -98 0
-13 -19 98 0
1 20 -99 0
1 -20 -99 0
-1 20 -99 0
-1 -20 99 0
2 20 -100 0
2 -20 -100 0
-2 20 -100 0
-2 -20 100 0
3 20 -101 0
3 -20 -101 0
-3 20 -101 0
-3 -20 101 0
4 20 -102 0
4 -20 -102 0
-4 20 -102 0
-4 -20 102 0
5 20 -103 0
5 -20 -103 0
-5 20 -103 0
-5 -20 103 0
6 20 -104 0
6 -20 -104 0
-6 20 -104 0
-6 -20 104 0
7 20 -105 0
7 -20 -105 0
-7 20 -105 0
-7 -20 105 0
8 20 -106 0
8 -20 -106 0
-8 20 -106 0
-8 -20 106 0
9 20 -107 0
9 -20 -107 0
-9 20 -107 0
-9 -20 107 0
10 20 -108 0
10 -20 -108 0
-10 20 -108 0
-10 -20 108 0
11 20 -109 0
11 -20 -109 0
-11 20 -109 0
-11 -20 109 0
12 20 -110 0
12 -20 -110 0
-12 20 -110 0
-12 -20 110 0
13 20 -111 0
13 -20 -111 0
-13 20 -111 0
-13 -20 111 0
22 34 -112 0
22 -34 -112 0
-22 34 -112 0
-22 -34 112 0
22 34 -113 0
22 -34 113 0
-22 34 113 0
-22 -34 -113 0
35 47 -114 0
35 -47 -114 0
-35 47 -114 0
-35 -47 114 0
35 47 -115 0
35 -47 115 0
-35 47 115 0
-35 -47 -115 0
23 115 -116 0
23 -115 -116 0
-23 115 -116 0
-23 -115 116 0
23 115 -117 0
23 -115 117 0
-23 115 117 0
-23 -115 -117 0
114 116 -118 0
114 -116 118 0
-114 116 118 0
-114 -116 -118 0
36 48 -119 0
36 -48 -119 0
-36 48 -119 0
-36 -48 119 0
36 48 -120 0
36 -48 120 0
-36 48 120 0
-36 -48 -120 0
24 120 -121 0
24 -120 -121 0
-24 120 -121 0
-24 -120 121 0
24 120 -122 0
24 -120 122 0
-24 120 122 0
-24 -120 -122 0
119 121 -123 0
119 -121 123 0
-119 121 123 0
-119 -121 -123 0
37 49 -124 0
37 -49 -124 0
-37 49 -124 0
-37 -49 124 0
37 49 -125 0
37 -49 125 0
-37 49 125 0
-37 -49 -125 0
25 125 -126 0
25 -125 -126 0
-25 125 -126 0
-25 -125 126 0
25 125 -127 0
25 -125 127 0
-25 125 127 0
-25 -125 -127 0
124 126 -128 0
124 -126 128 0
-124 126 128 0
-124 -126 -128 0
38 50 -129 0
38 -50 -129 0
-38 50 -129 0
-38 -50 129 0
38 50 -130 0
38 -50 130 0
-38 50 130 0
-38 -50 -130 0
26 130 -131 0
26 -130 -131 0
-26 130 -131 0
-26 -130 131 0
26 130 -132 0
26 -130 132 0
-26 130 132 0
-26 -130 -132 0
129 131 -133 0
129 -131 133 0
-129 131 133 0
-129 -131 -133 0
39 51 -134 0
39 -51 -134 0
-39 51 -134 0
-39 -51 134 0
39 51 -135 0
39 -51 135 0
