c Problem SAT 6 + 102
c
p cnf 573 2232
1 14 -21 0
1 -14 -21 0
-1 14 -21 0
-1 -14 21 0
2 14 -22 0
2 -14 -22 0
-2 14 -22 0
-2 -14 22 0
3 14 -23 0
3 -14 -23 0
-3 14 -23 0
-3 -14 23 0
4 14 -24 0
4 -14 -24 0
-4 14 -24 0
-4 -14 24 0
5 14 -25 0
5 -14 -25 0
-5 14 -25 0
-5 -14 25 0
6 14 -26 0
6 -14 -26 0
-6 14 -26 0
-6 -14 26 0
7 14 -27 0
7 -14 -27 0
-7 14 -27 0
-7 -14 27 0
8 14 -28 0
8 -14 -28 0
-8 14 -28 0
-8 -14 28 0
9 14 -29 0
9 -14 -29 0
-9 14 -29 0
-9 -14 29 0
10 14 -30 0
10 -14 -30 0
-10 14 -30 0
-10 -14 30 0
11 14 -31 0
11 -14 -31 0
-11 14 -31 0
-11 -14 31 0
12 14 -32 0
12 -14 -32 0
-12 14 -32 0
-12 -14 32 0
13 14 -33 0
13 -14 -33 0
-13 14 -33 0
-13 -14 33 0
1 15 -34 0
1 -15 -34 0
-1 15 -34 0
-1 -15 34 0
22 34 -35 0
22 -34 -35 0
-22 34 -35 0
-22 -34 35 0
22 34 -36 0
22 -34 36 0
-22 34 36 0
-22 -34 -36 0
2 15 -37 0
2 -15 -37 0
-2 15 -37 0
-2 -15 37 0
23 37 -38 0
23 -37 -38 0
-23 37 -38 0
-23 -37 38 0
23 37 -39 0
23 -37 39 0
-23 37 39 0
-23 -37 -39 0
3 15 -40 0
3 -15 -40 0
-3 15 -40 0
-3 -15 40 0
24 40 -41 0
24 -40 -41 0
-24 40 -41 0
-24 -40 41 0
24 40 -42 0
24 -40 42 0
-24 40 42 0
-24 -40 -42 0
4 15 -43 0
4 -15 -43 0
-4 15 -43 0
-4 -15 43 0
25 43 -44 0
25 -43 -44 0
-25 43 -44 0
-25 -43 44 0
25 43 -45 0
25 -43 45 0
-25 43 45 0
-25 -43 -45 0
5 15 -46 0
5 -15 -46 0
-5 15 -46 0
-5 -15 46 0
26 46 -47 0
26 -46 -47 0
-26 46 -47 0
-26 -46 47 0
26 46 -48 0
26 -46 48 0
-26 46 48 0
-26 -46 -48 0
6 15 -49 0
6 -15 -49 0
-6 15 -49 0
-6 -15 49 0
27 49 -50 0
27 -49 -50 0
-27 49 -50 0
-27 -49 50 0
27 49 -51 0
27 -49 51 0
-27 49 51 0
-27 -49 -51 0
7 15 -52 0
7 -15 -52 0
-7 15 -52 0
-7 -15 52 0
28 52 -53 0
28 -52 -53 0
-28 52 -53 0
-28 -52 53 0
28 52 -54 0
28 -52 54 0
-28 52 54 0
-28 -52 -54 0
8 15 -55 0
8 -15 -55 0
-8 15 -55 0
-8 -15 55 0
29 55 -56 0
29 -55 -56 0
-29 55 -56 0
-29 -55 56 0
29 55 -57 0
29 -55 57 0
-29 55 57 0
-29 -55 -57 0
9 15 -58 0
9 -15 -58 0
-9 15 -58 0
-9 -15 58 0
30 58 -59 0
30 -58 -59 0
-30 58 -59 0
-30 -58 59 0
30 58 -60 0
30 -58 60 0
-30 58 60 0
-30 -58 -60 0
10 15 -61 0
10 -15 -61 0
-10 15 -61 0
-10 -15 61 0
31 61 -62 0
31 -61 -62 0
-31 61 -62 0
-31 -61 62 0
31 61 -63 0
31 -61 63 0
-31 61 63 0
-31 -61 -63 0
11 15 -64 0
11 -15 -64 0
-11 15 -64 0
-11 -15 64 0
32 64 -65 0
32 -64 -65 0
-32 64 -65 0
-32 -64 65 0
32 64 -66 0
32 -64 66 0
-32 64 66 0
-32 -64 -66 0
12 15 -67 0
12 -15 -67 0
-12 15 -67 0
-12 -15 67 0
33 67 -68 0
33 -67 -68 0
-33 67 -68 0
-33 -67 68 0
33 67 -69 0
33 -67 69 0
-33 67 69 0
-33 -67 -69 0
13 15 -70 0
13 -15 -70 0
-13 15 -70 0
-13 -15 70 0
1 16 -71 0
1 -16 -71 0
-1 16 -71 0
-1 -16 71 0
39 71 -72 0
39 -71 -72 0
-39 71 -72 0
-39 -71 72 0
39 71 -73 0
39 -71 73 0
-39 71 73 0
-39 -71 -73 0
35 73 -74 0
35 -73 -74 0
-35 73 -74 0
-35 -73 74 0
35 73 -75 0
35 -73 75 0
-35 73 75 0
-35 -73 -75 0
72 74 -76 0
72 -74 76 0
-72 74 76 0
-72 -74 -76 0
2 16 -77 0
2 -16 -77 0
-2 16 -77 0
-2 -16 77 0
42 77 -78 0
42 -77 -78 0
-42 77 -78 0
-42 -77 78 0
42 77 -79 0
42 -77 79 0
-42 77 79 0
-42 -77 -79 0
38 79 -80 0
38 -79 -80 0
-38 79 -80 0
-38 -79 80 0
38 79 -81 0
38 -79 81 0
-38 79 81 0
-38 -79 -81 0
78 80 -82 0
78 -80 82 0
-78 80 82 0
-78 -80 -82 0
3 16 -83 0
3 -16 -83 0
-3 16 -83 0
-3 -16 83 0
45 83 -84 0
45 -83 -84 0
-45 83 -84 0
-45 -83 84 0
45 83 -85 0
45 -83 85 0
-45 83 85 0
-45 -83 -85 0
41 85 -86 0
41 -85 -86 0
-41 85 -86 0
-41 -85 86 0
41 85 -87 0
41 -85 87 0
-41 85 87 0
-41 -85 -87 0
84 86 -88 0
84 -86 88 0
-84 86 88 0
-84 -86 -88 0
4 16 -89 0
4 -16 -89 0
-4 16 -89 0
-4 -16 89 0
48 89 -90 0
48 -89 -90 0
-48 89 -90 0
-48 -89 90 0
48 89 -91 0
48 -89 91 0
-48 89 91 0
-48 -89 -91 0
44 91 -92 0
44 -91 -92 0
-44 91 -92 0
-44 -91 92 0
44 91 -93 0
44 -91 93 0
-44 91 93 0
-44 -91 -93 0
90 92 -94 0
90 -92 94 0
-90 92 94 0
-90 -92 -94 0
5 16 -95 0
5 -16 -95 0
-5 16 -95 0
-5 -16 95 0
51 95 -96 0
51 -95 -96 0
-51 95 -96 0
-51 -95 96 0
51 95 -97 0
51 -95 97 0
-51 95 97 0
-51 -95 -97 0
47 97 -98 0
47 -97 -98 0
-47 97 -98 0
-47 -97 98 0
47 97 -99 0
47 -97 99 0
-47 97 99 0
-47 -97 -99 0
96 98 -100 0
96 -98 100 0
-96 98 100 0
-96 -98 -100 0
6 16 -101 0
6 -16 -101 0
-6 16 -101 0
-6 -16 101 0
54 101 -102 0
54 -101 -102 0
-54 101 -102 0
-54 -101 102 0
54 101 -103 0
54 -101 103 0
-54 101 103 0
-54 -101 -103 0
50 103 -104 0
50 -103 -104 0
-50 103 -104 0
-50 -103 104 0
50 103 -105 0
50 -103 105 0
-50 103 105 0
-50 -103 -105 0
102 104 -106 0
102 -104 106 0
-102 104 106 0
-102 -104 -106 0
7 16 -107 0
7 -16 -107 0
-7 16 -107 0
-7 -16 107 0
57 107 -108 0
57 -107 -108 0
-57 107 -108 0
-57 -107 108 0
57 107 -109 0
57 -107 109 0
-57 107 109 0
-57 -107 -109 0
53 109 -110 0
53 -109 -110 0
-53 109 -110 0
-53 -109 110 0
53 109 -111 0
53 -109 111 0
-53 109 111 0
-53 -109 -111 0
108 110 -112 0
108 -110 112 0
-108 110 112 0
-108 -110 -112 0
8 16 -113 0
8 -16 -113 0
-8 16 -113 0
-8 -16 113 0
60 113 -114 0
60 -113 -114 0
-60 113 -114 0
-60 -113 114 0
60 113 -115 0
60 -113 115 0
-60 113 115 0
-60 -113 -115 0
56 115 -116 0
56 -115 -116 0
-56 115 -116 0
-56 -115 116 0
56 115 -117 0
56 -115 117 0
-56 115 117 0
-56 -115 -117 0
114 116 -118 0
114 -116 118 0
-114 116 118 0
-114 -116 -118 0
9 16 -119 0
9 -16 -119 0
-9 16 -119 0
-9 -16 119 0
63 119 -120 0
63 -119 -120 0
-63 119 -120 0
-63 -119 120 0
63 119 -121 0
63 -119 121 0
-63 119 121 0
-63 -119 -121 0
59 121 -122 0
59 -121 -122 0
-59 121 -122 0
-59 -121 122 0
59 121 -123 0
59 -121 123 0
-59 121 123 0
-59 -121 -123 0
120 122 -124 0
120 -122 124 0
-120 122 124 0
-120 -122 -124 0
10 16 -125 0
10 -16 -125 0
-10 16 -125 0
-10 -16 125 0
66 125 -126 0
66 -125 -126 0
-66 125 -126 0
-66 -125 126 0
66 125 -127 0
66 -125 127 0
-66 125 127 0
-66 -125 -127 0
62 127 -128 0
62 -127 -128 0
-62 127 -128 0
-62 -127 128 0
62 127 -129 0
62 -127 129 0
-62 127 129 0
-62 -127 -129 0
126 128 -130 0
126 -128 130 0
-126 128 130 0
-126 -128 -130 0
11 16 -131 0
11 -16 -131 0
-11 16 -131 0
-11 -16 131 0
69 131 -132 0
69 -131 -132 0
-69 131 -132 0
-69 -131 132 0
69 131 -133 0
69 -131 133 0
-69 131 133 0
-69 -131 -133 0
65 133 -134 0
65 -133 -134 0
-65 133 -134 0
-65 -133 134 0
65 133 -135 0
65 -133 135 0
-65 133 135 0
-65 -133 -135 0
132 134 -136 0
