c Problem SAT 8+211
c
p cnf 818 3204
1 16 -24 0
1 -16 -24 0
-1 16 -24 0
-1 -16 24 0
2 16 -25 0
2 -16 -25 0
-2 16 -25 0
-2 -16 25 0
3 16 -26 0
3 -16 -26 0
-3 16 -26 0
-3 -16 26 0
4 16 -27 0
4 -16 -27 0
-4 16 -27 0
-4 -16 27 0
5 16 -28 0
5 -16 -28 0
-5 16 -28 0
-5 -16 28 0
6 16 -29 0
6 -16 -29 0
-6 16 -29 0
-6 -16 29 0
7 16 -30 0
7 -16 -30 0
-7 16 -30 0
-7 -16 30 0
8 16 -31 0
8 -16 -31 0
-8 16 -31 0
-8 -16 31 0
9 16 -32 0
9 -16 -32 0
-9 16 -32 0
-9 -16 32 0
10 16 -33 0
10 -16 -33 0
-10 16 -33 0
-10 -16 33 0
11 16 -34 0
11 -16 -34 0
-11 16 -34 0
-11 -16 34 0
12 16 -35 0
12 -16 -35 0
-12 16 -35 0
-12 -16 35 0
13 16 -36 0
13 -16 -36 0
-13 16 -36 0
-13 -16 36 0
14 16 -37 0
14 -16 -37 0
-14 16 -37 0
-14 -16 37 0
15 16 -38 0
15 -16 -38 0
-15 16 -38 0
-15 -16 38 0
1 17 -39 0
1 -17 -39 0
-1 17 -39 0
-1 -17 39 0
2 17 -40 0
2 -17 -40 0
-2 17 -40 0
-2 -17 40 0
3 17 -41 0
3 -17 -41 0
-3 17 -41 0
-3 -17 41 0
4 17 -42 0
4 -17 -42 0
-4 17 -42 0
-4 -17 42 0
5 17 -43 0
5 -17 -43 0
-5 17 -43 0
-5 -17 43 0
6 17 -44 0
6 -17 -44 0
-6 17 -44 0
-6 -17 44 0
7 17 -45 0
7 -17 -45 0
-7 17 -45 0
-7 -17 45 0
8 17 -46 0
8 -17 -46 0
-8 17 -46 0
-8 -17 46 0
9 17 -47 0
9 -17 -47 0
-9 17 -47 0
-9 -17 47 0
10 17 -48 0
10 -17 -48 0
-10 17 -48 0
-10 -17 48 0
11 17 -49 0
11 -17 -49 0
-11 17 -49 0
-11 -17 49 0
12 17 -50 0
12 -17 -50 0
-12 17 -50 0
-12 -17 50 0
13 17 -51 0
13 -17 -51 0
-13 17 -51 0
-13 -17 51 0
14 17 -52 0
14 -17 -52 0
-14 17 -52 0
-14 -17 52 0
15 17 -53 0
15 -17 -53 0
-15 17 -53 0
-15 -17 53 0
1 18 -54 0
1 -18 -54 0
-1 18 -54 0
-1 -18 54 0
2 18 -55 0
2 -18 -55 0
-2 18 -55 0
-2 -18 55 0
3 18 -56 0
3 -18 -56 0
-3 18 -56 0
-3 -18 56 0
4 18 -57 0
4 -18 -57 0
-4 18 -57 0
-4 -18 57 0
5 18 -58 0
5 -18 -58 0
-5 18 -58 0
-5 -18 58 0
6 18 -59 0
6 -18 -59 0
-6 18 -59 0
-6 -18 59 0
7 18 -60 0
7 -18 -60 0
-7 18 -60 0
-7 -18 60 0
8 18 -61 0
8 -18 -61 0
-8 18 -61 0
-8 -18 61 0
9 18 -62 0
9 -18 -62 0
-9 18 -62 0
-9 -18 62 0
10 18 -63 0
10 -18 -63 0
-10 18 -63 0
-10 -18 63 0
11 18 -64 0
11 -18 -64 0
-11 18 -64 0
-11 -18 64 0
12 18 -65 0
12 -18 -65 0
-12 18 -65 0
-12 -18 65 0
13 18 -66 0
13 -18 -66 0
-13 18 -66 0
-13 -18 66 0
14 18 -67 0
14 -18 -67 0
-14 18 -67 0
-14 -18 67 0
15 18 -68 0
15 -18 -68 0
-15 18 -68 0
-15 -18 68 0
1 19 -69 0
1 -19 -69 0
-1 19 -69 0
-1 -19 69 0
2 19 -70 0
2 -19 -70 0
-2 19 -70 0
-2 -19 70 0
3 19 -71 0
3 -19 -71 0
-3 19 -71 0
-3 -19 71 0
4 19 -72 0
4 -19 -72 0
-4 19 -72 0
-4 -19 72 0
5 19 -73 0
5 -19 -73 0
-5 19 -73 0
-5 -19 73 0
6 19 -74 0
6 -19 -74 0
-6 19 -74 0
-6 -19 74 0
7 19 -75 0
7 -19 -75 0
-7 19 -75 0
-7 -19 75 0
8 19 -76 0
8 -19 -76 0
-8 19 -76 0
-8 -19 76 0
9 19 -77 0
9 -19 -77 0
-9 19 -77 0
-9 -19 77 0
10 19 -78 0
10 -19 -78 0
-10 19 -78 0
-10 -19 78 0
11 19 -79 0
11 -19 -79 0
-11 19 -79 0
-11 -19 79 0
12 19 -80 0
12 -19 -80 0
-12 19 -80 0
-12 -19 80 0
13 19 -81 0
13 -19 -81 0
-13 19 -81 0
-13 -19 81 0
14 19 -82 0
14 -19 -82 0
-14 19 -82 0
-14 -19 82 0
15 19 -83 0
15 -19 -83 0
-15 19 -83 0
-15 -19 83 0
1 20 -84 0
1 -20 -84 0
-1 20 -84 0
-1 -20 84 0
2 20 -85 0
2 -20 -85 0
-2 20 -85 0
-2 -20 85 0
3 20 -86 0
3 -20 -86 0
-3 20 -86 0
-3 -20 86 0
4 20 -87 0
4 -20 -87 0
-4 20 -87 0
-4 -20 87 0
5 20 -88 0
5 -20 -88 0
-5 20 -88 0
-5 -20 88 0
6 20 -89 0
6 -20 -89 0
-6 20 -89 0
-6 -20 89 0
7 20 -90 0
7 -20 -90 0
-7 20 -90 0
-7 -20 90 0
8 20 -91 0
8 -20 -91 0
-8 20 -91 0
-8 -20 91 0
9 20 -92 0
9 -20 -92 0
-9 20 -92 0
-9 -20 92 0
10 20 -93 0
10 -20 -93 0
-10 20 -93 0
-10 -20 93 0
11 20 -94 0
11 -20 -94 0
-11 20 -94 0
-11 -20 94 0
12 20 -95 0
12 -20 -95 0
-12 20 -95 0
-12 -20 95 0
13 20 -96 0
13 -20 -96 0
-13 20 -96 0
-13 -20 96 0
14 20 -97 0
14 -20 -97 0
-14 20 -97 0
-14 -20 97 0
15 20 -98 0
15 -20 -98 0
-15 20 -98 0
-15 -20 98 0
1 21 -99 0
1 -21 -99 0
-1 21 -99 0
-1 -21 99 0
2 21 -100 0
2 -21 -100 0
-2 21 -100 0
-2 -21 100 0
3 21 -101 0
3 -21 -101 0
-3 21 -101 0
-3 -21 101 0
4 21 -102 0
4 -21 -102 0
-4 21 -102 0
-4 -21 102 0
5 21 -103 0
5 -21 -103 0
-5 21 -103 0
-5 -21 103 0
6 21 -104 0
6 -21 -104 0
-6 21 -104 0
-6 -21 104 0
7 21 -105 0
7 -21 -105 0
-7 21 -105 0
-7 -21 105 0
8 21 -106 0
8 -21 -106 0
-8 21 -106 0
-8 -21 106 0
9 21 -107 0
9 -21 -107 0
-9 21 -107 0
-9 -21 107 0
10 21 -108 0
10 -21 -108 0
-10 21 -108 0
-10 -21 108 0
11 21 -109 0
11 -21 -109 0
-11 21 -109 0
-11 -21 109 0
12 21 -110 0
12 -21 -110 0
-12 21 -110 0
-12 -21 110 0
13 21 -111 0
13 -21 -111 0
-13 21 -111 0
-13 -21 111 0
14 21 -112 0
14 -21 -112 0
-14 21 -112 0
-14 -21 112 0
15 21 -113 0
15 -21 -113 0
-15 21 -113 0
-15 -21 113 0
1 22 -114 0
1 -22 -114 0
-1 22 -114 0
-1 -22 114 0
2 22 -115 0
2 -22 -115 0
-2 22 -115 0
-2 -22 115 0
3 22 -116 0
3 -22 -116 0
-3 22 -116 0
-3 -22 116 0
4 22 -117 0
4 -22 -117 0
-4 22 -117 0
-4 -22 117 0
5 22 -118 0
5 -22 -118 0
-5 22 -118 0
-5 -22 118 0
6 22 -119 0
6 -22 -119 0
-6 22 -119 0
-6 -22 119 0
7 22 -120 0
7 -22 -120 0
-7 22 -120 0
-7 -22 120 0
8 22 -121 0
8 -22 -121 0
-8 22 -121 0
-8 -22 121 0
9 22 -122 0
9 -22 -122 0
-9 22 -122 0
-9 -22 122 0
10 22 -123 0
10 -22 -123 0
-10 22 -123 0
-10 -22 123 0
11 22 -124 0
11 -22 -124 0
-11 22 -124 0
-11 -22 124 0
12 22 -125 0
12 -22 -125 0
-12 22 -125 0
-12 -22 125 0
13 22 -126 0
13 -22 -126 0
-13 22 -126 0
-13 -22 126 0
14 22 -127 0
14 -22 -127 0
-14 22 -127 0
-14 -22 127 0
15 22 -128 0
15 -22 -128 0
-15 22 -128 0
-15 -22 128 0
1 23 -129 0
1 -23 -129 0
-1 23 -129 0
-1 -23 129 0
2 23 -130 0
2 -23 -130 0
-2 23 -130 0
-2 -23 130 0
3 23 -131 0
3 -23 -131 0
-3 23 -131 0
-3 -23 131 0
4 23 -132 0
4 -23 -132 0
-4 23 -132 0
-4 -23 132 0
5 23 -133 0
5 -23 -133 0
-5 23 -133 0
-5 -23 133 0
6 23 -134 0
6 -23 -134 0
-6 23 -134 0
-6 -23 134 0
7 23 -135 0
7 -23 -135 0
-7 23 -135 0
-7 -23 135 0
8 23 -136 0
8 -23 -136 0
-8 23 -136 0
-8 -23 136 0
9 23 -137 0
9 -23 -137 0
-9 23 -137 0
-9 -23 137 0
10 23 -138 0
10 -23 -138 0
-10 23 -138 0
-10 -23 138 0
11 23 -139 0
11 -23 -139 0
-11 23 -139 0
-11 -23 139 0
12 23 -140 0
12 -23 -140 0
-12 23 -140 0
-12 -23 140 0
13 23 -141 0
13 -23 -141 0
-13 23 -141 0
-13 -23 141 0
14 23 -142 0
14 -23 -142 0
-14 23 -142 0
-14 -23 142 0
15 23 -143 0
15 -23 -143 0
-15 23 -143 0
-15 -23 143 0
25 39 -144 0
25 -39 -144 0
-25 39 -144 0
-25 -39 144 0
25 39 -145 0
25 -39 145 0
-25 39 145 0
-25 -39 -145 0
40 54 -146 0
40 -54 -146 0
-40 54 -146 0
-40 -54 146 0
40 54 -147 0
40 -54 147 0
-40 54 147 0
-40 -54 -147 0
26 147 -148 0
26 -147 -148 0
-26 147 -148 0
-26 -147 148 0
26 147 -149 0
26 -147 149 0
-26 147 149 0
-26 -147 -149 0
146 148 -150 0
146 -148 150 0
-146 148 150 0
-146 -148 -150 0
41 55 -151 0
41 -55 -151 0
-41 55 -151 0
-41 -55 151 0
41 55 -152 0
41 -55 152 0
-41 55 152 0
-41 -55 -152 0
27 152 -153 0
